"","Alchorne","Syzygium","Fagara","Graminea","Bridelia","Pteridop","Indeterm","Polygonu","Cyperace","Amaranth","Composit","Dodonaea","Macarang","Phyllant","Ficus","Nymphaea","Podocarp","Canthium","Allophyl","Typha","Acalypha","Euphorbi","Hypericu","Hymenoca","Myrica","Jasminum","Solanum","Grewia","Pygeum","Umbellif","Urticace","Tribulus","Celtis","Combreta","Ericacea","Impatien","Lorantha","Scheffle","Albizzia","Harungan","Justicia","Rhus","Ilex","Polyscia","Croton","Symphoni","Apodytes","Aloe","Bersama","Olea","Kotschya","Vigna","Polygala","Protea","Hagenia","Prunus","Galinier","Trema","Capparis","Sapium","Pterocar","Ziziphus","Maytenus","Dombeya","Haloraga","Chrysoph","Cissus","Indigofe","Psychotr","Triumfet","Cassipou","Tricalys","Ocimum","Kalancho","Cadaba","Maesa","Carapa.E","Entandro","Strombos","Neobouto","Abutilon","Sideroxy","Lawsonia","Ludwigia","Agrochar","Chron1","Chron10"
"550",0,116,3,75,0,89,9,0,74,0,18,0,8,0,0,9,14,0,0,1,0,0,2,0,1,0,0,2,0,1,0,0,4,0,1,0,0,2,1,0,0,0,4,0,0,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,6,1,1,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,11623.6953125,13493.4130859375
"560",0,120,8,125,0,44,8,0,35,2,43,0,2,0,0,2,10,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,9,0,0,0,0,5,0,0,0,0,5,0,0,0,1,0,0,30,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,11649.34765625,13519.4560546875
"570",0,101,5,136,1,78,10,0,35,4,35,0,2,0,2,5,13,0,0,1,0,1,1,0,2,2,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0,3,0,0,0,2,0,0,27,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,11675,13545.5
"580",0,132,5,162,0,71,1,0,38,0,20,0,2,0,0,4,10,0,0,0,0,0,5,0,1,0,2,0,0,1,0,0,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,36,0,0,0,1,0,4,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,11700.65234375,13571.5439453125
"590",0,109,5,69,0,36,4,0,36,0,25,0,3,1,1,4,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,3,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,11726.3046875,13597.5869140625
"600",0,90,7,125,1,37,6,0,42,1,23,0,5,0,0,10,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,22,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11751.9560546875,13623.630859375
"610",0,119,3,83,0,77,4,0,56,0,21,0,9,0,0,4,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,41,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,11777.6083984375,13649.673828125
"620",0,98,1,105,0,104,7,0,31,2,24,0,5,0,0,1,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,1,0,0,0,5,0,0,0,0,5,0,0,0,0,1,0,17,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11803.2607421875,13675.7177734375
"630",0,113,6,61,0,79,1,0,71,2,16,0,4,1,0,7,11,0,0,1,0,2,3,1,3,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,29,0,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11828.9130859375,13701.7607421875
"640",0,60,1,57,0,36,2,0,38,0,11,0,3,0,0,2,5,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,38,0,0,0,0,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11854.5654296875,13727.8046875
