,Rhizopho,Acrostic,Syzygium,Tabernae,Hollarrh,Strophan,Landolph,Uapaca,Alchorne,Mallotus,Tetrorch,Spondian,Phyllant,Celtis,Chaetacm,Anthocle,Sapotace,Carapa.t,Combreta,Arecacea,Elaeis.g,Borassus,Raphia.s,Phoenix,Ancistro,Symphoni,Pentades,Ceiba.pe,Deinboll,Cissus,Pentachl,Entada.a,Piptaden,Dichrost,Acacia,Mimosa.p,Triploch,Sterculi,Hildegar,Mansonia,Cola.typ,Berlinia,Cassia.t,Caesalpi,Nauclea.,Canthium,Scherbou,Ixora.sp,Chassali,Morelia.,Cuviera,Sabicea,Pavetta.,Psychotr,Gardenia,Rubiacea,Spathode,Grewia.t,Drepanoc,Lonchoca,Dalbergi,Aechynom,Sesbania,Lannea.t,Spondias,Diospyro,Cleistop,Monodora,Annona.s,Bosqueia,Milicia.,Adenia.l,Cleroden,Irvingia,Avicenni,Cnestis.,Allophyl,Blighia.,Paullini,Jasminum,Flabella,Musanga.,Pycnanth,Parinari,Lophira,Fabaceae,Secamone,Poaceae,Cyperace,Asterace,Amaranth,Nymphea,Cyrtospe,Polygonu,Dracaena,Cleome,Ludwigia,Croton.t,Borreria,Triumfet,Indigofe,Crotalar,Desmodiu,Tetracer,Justicia,Scoparia,Leonotis,Polygala,Ipomoea.,Typha,Other,Spores.m,Spores.t,Indeterm,Indeterm.1,Chron1,Chron10,Chron20
330,300,4,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,6517.659668,7345.891113,7392.656738
340,700,4,0,0,0,0,0,5,16,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,1,0,6564.255371,7392.300293,7436.726074
350,800,26,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,2,0,6610.851074,7438.709961,7480.79541
385,870,9,1,0,0,0,1,16,2,0,0,0,0,1,0,0,1,0,2,14,0,0,0,2,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,2,0,6773.936035,7601.143555,7635.037109
395,1060,16,4,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,10,5,0,0,3,1,0,10,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1,0,6820.531738,7647.553223,7679.106445
405,484,19,3,0,2,0,0,12,0,0,0,0,0,0,0,3,0,0,3,4,0,0,5,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,2,0,6867.127441,7693.962891,7723.175293
415,352,6,4,1,0,0,0,2,3,0,0,0,0,6,0,1,2,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,3,6,1,0,6913.723633,7740.372559,7767.244629
425,480,11,1,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,2,7,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,2,0,6960.319336,7786.781738,7811.313965
435,200,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,7006.915039,7833.191406,7855.382813
445,130,8,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,1,0,7053.510742,7879.601074,7899.452148
455,501,14,2,1,1,0,0,4,0,0,0,0,1,1,0,1,3,0,1,2,0,0,19,2,0,6,0,0,6,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,4,0,7100.106445,7926.010742,7943.521484
