FAMILIES, ORIGINAL NAMES,PLANT HABIT,POLLEN HABIT,PROPOSED NAMES,HABIT,Nb of sp. (g.) in tropical Africa,SAME TYPES,REMARKS,REVISED NOMENCLATURE 2019
RUTACEAE,Xanthoxylum (formerly Fagara) Rutaceae,ST(L),AL,Zanthoxylum-type,"trees and shrubs, more rarely lianes (Z. dinklagei)",,Fagaropsis angolensis (T),mis-spelling,Zanthoxylum-type
RUTACEAE,Zanthoxylum,ST(L),AL,Zanthoxylum-type,"trees and shrubs, more rarely lianes (Z. dinklagei)",,Fagaropsis angolensis (T),,Zanthoxylum-type
RUTACEAE,Zanthoxylum type,ST(L),AL,Zanthoxylum-type,"trees and shrubs, more rarely lianes (Z. dinklagei)",,Fagaropsis angolensis (T),,Zanthoxylum-type
RUTACEAE,Zanthoxylum-type,ST(L),AL,Zanthoxylum-type,"trees and shrubs, more rarely lianes (Z. dinklagei)",,Fagaropsis angolensis (T),,Zanthoxylum-type
SALVADORACEAE,Salvadora-type,ST(L),AL,Salvadora,"trees or shrubs, often scrambling",,,,Salvadora
SAPINDACEAE,Allophyllus,STL,AL,Allophylus,"trees, shrubs or woody climbers",,,mis-spelling,Allophylus
SAPINDACEAE,Allophylus,STL,AL,Allophylus,"trees, shrubs or woody climbers",,,Madagascar: 20 sp.,Allophylus
SAPINDACEAE,Allophylus-type,STL,AL,Allophylus,"trees, shrubs or woody climbers",,,,Allophylus
SAPINDACEAE,Alophyllus,STL,AL,Allophylus,"trees, shrubs or woody climbers",,,mis-spelling,Allophylus
SAPINDACEAE,Cf Allophylus,STL,AL,Allophylus,"trees, shrubs or woody climbers",,,,Allophylus
SAPINDACEAE,Sapindacea,STL,AL,Sapindaceae undiff.,"trees, shrubs or woody (rarely herbaceous) climbers",,,,Sapindaceae undiff.
SAPINDACEAE,Sapindaceae,STL,AL,Sapindaceae undiff.,"trees, shrubs or woody (rarely herbaceous) climbers",,,,Sapindaceae undiff.
SAPINDACEAE,Sapindaceae comp.,STL,AL,Sapindaceae undiff.,"trees, shrubs or woody (rarely herbaceous) climbers",,,,Sapindaceae undiff.
SAPINDACEAE,Sapindaceae type 5,STL,AL,Sapindaceae undiff.,"trees, shrubs or woody (rarely herbaceous) climbers",,,,Sapindaceae undiff.
SAPINDACEAE,Sapindaceae type 6,STL,AL,Sapindaceae undiff.,"trees, shrubs or woody (rarely herbaceous) climbers",,,,Sapindaceae undiff.
SAPINDACEAE,Sapindaceae type 7,STL,AL,Sapindaceae undiff.,"trees, shrubs or woody (rarely herbaceous) climbers",,,,Sapindaceae undiff.
SAPINDACEAE,Sapindaceae undiff.,STL,AL,Sapindaceae undiff.,"trees, shrubs or woody (rarely herbaceous) climbers",,,,Sapindaceae undiff.
SAPINDACEAE,Sapindacées,STL,AL,Sapindaceae undiff.,"trees, shrubs or woody (rarely herbaceous) climbers",,,,Sapindaceae undiff.
SAPINDACEAE/PROTEACEAE,Allophylus/Protea sim.,STL,AL,Allophylus/Protea,"trees, shrubs or climbers",,,,Allophylus/Protea
SAPINDACEAE/PROTEACEAE,Allophylus-Protea,STL,AL,Allophylus/Protea,"trees, shrubs or climbers",,,,Allophylus/Protea
SAPINDACEAE/PROTEACEAE,Allophylus/protea/faurea,STL,AL,Allophylus/Protea/Faurea,"trees, shrubs or climbers",,,,Allophylus/Protea/Faurea
SAPOTACEAE,Chrysophyllum-type,ST(L),AL,Chrysophyllum-type,"trees or shrubs, sometimes scandent",,"some Sideroxylon (ST), Manilkara (T(S)), Synsepalum (ST)",,Chrysophyllum-type
SAPOTACEAE,Chrysophylum-type,ST(L),AL,Chrysophyllum-type,"trees or shrubs, sometimes scandent",,"some Sideroxylon (ST), Manilkara (T(S)), Synsepalum (ST)",mis-spelling,Chrysophyllum-type
SAPOTACEAE,Sapotaceae,ST,AL,Sapotaceae undiff.,trees or shrubs,,,,Sapotaceae undiff.
SAPOTACEAE,Sapotaceae (type 4),ST,AL,Sapotaceae undiff.,trees or shrubs,,,,Sapotaceae undiff.
SAPOTACEAE,Sapotaceae comp.,ST,AL,Sapotaceae undiff.,trees or shrubs,,,,Sapotaceae undiff.
SAPOTACEAE,Sapotaceae undiff,ST,AL,Sapotaceae undiff.,trees or shrubs,,,,Sapotaceae undiff.
SAPOTACEAE,Sapotaceae undiff.,ST,AL,Sapotaceae undiff.,trees or shrubs,,,,Sapotaceae undiff.
SAPOTACEAE,Sapotaceae-type 1,ST,AL,Sapotaceae undiff.,trees or shrubs,,,,Sapotaceae undiff.
SAPOTACEAE,Sapotaceae-type 4,ST,AL,Sapotaceae undiff.,trees or shrubs,,,,Sapotaceae undiff.
SAPOTACEAE,Sapotacée (1),ST,AL,Sapotaceae undiff.,trees or shrubs,,,,Sapotaceae undiff.
SAPOTACEAE,Sapotacées,ST,AL,Sapotaceae undiff.,trees or shrubs,,,,Sapotaceae undiff.
SIMAROUBACEAE,Harrisonia-type,STL,AL,Harrisonia abyssinica,"small tree or shrub, frequently scandent, 1-13 m tall",,,,Harrisonia abyssinica
STERCULIACEAE,Type Byttneria,SL,AL,Byttneria,"shrubs or lianes, sometimes spiny",,,,Byttneria
STRYCHNACEAE,Strynchnos,ST(L),AL,Strychnos,erect or climbing shrubs or trees,,,mis-spelling,Strychnos
TILIACEAE,Desplatsia,ST(L),AL,Desplatsia-type,"trees or shrubs, sometimes more or less scandent",,some Grewia (STL),,Desplatsia-type
TILIACEAE,Grewia comp.,STL,AL,Grewia-type,"small trees or shrubs, often scandent",,some Desplatsia (ST(L)),,Grewia-type
TILIACEAE,Grewia sp.,STL,AL,Grewia-type,"small trees or shrubs, often scandent",,some Desplatsia (ST(L)),,Grewia-type
TILIACEAE,Grewia type,STL,AL,Grewia-type,"small trees or shrubs, often scandent",,some Desplatsia (ST(L)),,Grewia-type
TILIACEAE,Grewia-type,STL,AL,Grewia-type,"small trees or shrubs, often scandent",,some Desplatsia (ST(L)),,Grewia-type
TILIACEAE,T. Grewia,STL,AL,Grewia-type,"small trees or shrubs, often scandent",,some Desplatsia (ST(L)),,Grewia-type
VERBENACEAE,Clerodendrum,STL,AL,Clerodendrum,"trees, shrubs or lianes",,,,Clerodendrum
VERBENACEAE,Clerodendrum thyrsoideum,SL,AL,Clerodendrum thyrsoideum-type,climbing shrub 1-20 m high,,,,Clerodendrum thyrsoideum-type
VERBENACEAE,Clerodendrum volubile,SL,AL,Clerodendrum volubile-type,twining shrub 1-4.5 m long or tall,,,,Clerodendrum volubile-type
VERBENACEAE,Lantana cf. viburnoides,S(L),AL,Lantana-type viburnoides,"shrub or subshrub 0.3-2.5 m tall, occasionally scrambling",,Lippia abyssinica (HS),,Lantana-type viburnoides
VERBENACEAE,Lantana-type viburnoides,S(L),AL,Lantana-type viburnoides,"shrub or subshrub 0.3-2.5 m tall, occasionally scrambling",,Lippia abyssinica (HS),,Lantana-type viburnoides
VERBENACEAE,Lantana-type virbunoides,S(L),AL,Lantana-type viburnoides,"shrub or subshrub 0.3-2.5 m tall, occasionally scrambling",,Lippia abyssinica (HS),mis-spelling,Lantana-type viburnoides
VERBENACEAE,Vitax,ST(L),AL,Vitex-type,"trees, shrubs or occasionally lianes",,some Premna (STL),mis-spelling; Madagascar: 43 sp.,Vitex-type
VERBENACEAE,Vitex,ST(L),AL,Vitex-type,"trees, shrubs or occasionally lianes",,some Premna (STL),,Vitex-type
VERBENACEAE,Vitex (cf),ST(L),AL,Vitex-type,"trees, shrubs or occasionally lianes",,some Premna (STL),,Vitex-type
VERBENACEAE,Vitex-type,ST(L),AL,Vitex-type,"trees, shrubs or occasionally lianes",,some Premna (STL),,Vitex-type
VITACEAE,Vitis-type,SL,AL,Vitis-type vinifera,woody climber or trailer,,some Cayratia (HL),"introduced, cultivated",Vitis-type vinifera
LORANTHACEAE,Tapinanthus-type dodoneifolius,S(p),Ap,Agelanthus-type dodoneifolius,"shrub with spreading and pendent branches to 1,5 m long",,"some Tapinanthus (S(p)), Oncocalyx (S(p)), Phragmanthera (S(p))",syn. Agelanthus,Agelanthus-type dodoneifolius
LORANTHACEAE,Agelanthus-type scassellatii,S(p),Ap,Agelanthus-type scassellatii,spreading shrub to 1 m,,"some Tapinanthus (S(p)), Oncocalyx (S(p)), Phragmanthera (S(p))",,Agelanthus-type heteromorphus
LORANTHACEAE,Tapinanthus-type aurantiacus,S(p),Ap,Agelanthus-type scassellatii,spreading shrub to 1 m,,"some Tapinanthus (S(p)), Oncocalyx (S(p)), Phragmanthera (S(p))",syn. Agelanthus,Agelanthus-type heteromorphus
LORANTHACEAE,Loranthaceae (Africa),S(p),Ap,Loranthaceae undiff.,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,,,Loranthaceae undiff.
LORANTHACEAE,Loranthaceae undiff.,S(p),Ap,Loranthaceae undiff.,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,,,Loranthaceae undiff.
LORANTHACEAE,Loranthacées (L/toides),S(p),Ap,Loranthaceae undiff.,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,,,Loranthaceae undiff.
LORANTHACEAE,Loranthacées (Lorantho<des),S(p),Ap,Loranthaceae undiff.,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,,,Loranthaceae undiff.
LORANTHACEAE,Loranthacées (Loranthoïdes),S(p),Ap,Loranthaceae undiff.,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,,,Loranthaceae undiff.
LORANTHACEAE,Loranthus,S(p),Ap,Loranthaceae undiff.,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,,syn. of many genera,Loranthaceae undiff.
LORANTHACEAE,Loranthus type,S(p),Ap,Loranthaceae undiff.,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,,syn. of many genera,Loranthaceae undiff.
LORANTHACEAE,Loranthus-type,S(p),Ap,Loranthaceae undiff.,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,,syn. of many genera,Loranthaceae undiff.
LORANTHACEAE,Plicosepalus-type,S(p),Ap,Plicosepalus,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,,pollens héréropolaires comme Plicocepalus sagittifolius,Plicosepalus
LORANTHACEAE,type Plicosepalus,S(p),Ap,Plicosepalus,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,,pollens héréropolaires comme Plicocepalus sagittifolius,Plicosepalus
LORANTHACEAE,Plicosepalus sagittifolius-type,S(p),Ap,Plicosepalus sagittifolius-type,shrubs parasitic on Acacia,,,,Plicosepalus sagittifolius-type
LORANTHACEAE,Loranthaceae cf Tapinantus,S(p),Ap,Tapinanthus-type,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,"some Agelanthus (Ap), Oncocalyx (Ap), Phragmanthera (Ap)",mis-spelling,Tapinanthus-type
LORANTHACEAE,Tapinanthus,S(p),Ap,Tapinanthus-type,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,"some Agelanthus (Ap), Oncocalyx (Ap), Phragmanthera (Ap)",,Tapinanthus-type
LORANTHACEAE,Tapinanthus sp.,S(p),Ap,Tapinanthus-type,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,"some Agelanthus (Ap), Oncocalyx (Ap), Phragmanthera (Ap)",,Tapinanthus-type
LORANTHACEAE,Tapinanthus-type,S(p),Ap,Tapinanthus-type,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,"some Agelanthus (Ap), Oncocalyx (Ap), Phragmanthera (Ap)",,Tapinanthus-type
LORANTHACEAE,type Tapinanthus,S(p),Ap,Tapinanthus-type,"perennial shrubs, hemiparasitic on the stems of woody Dicotyledons",,"some Agelanthus (Ap), Oncocalyx (Ap), Phragmanthera (Ap)",,Tapinanthus-type
LORANTHACEAE,Tapinanthus-type globiferus,S(p),Ap,Tapinanthus-type globiferus,plant with stems to 1 m long,,,,Tapinanthus-type globiferus
SANTALACEAE,Viscum,S(p),Ap,Viscum,"shrubs, hemiparasitic",,,,Viscum
ACANTHACEAE,Acanthaceae diporate,HS(TL),I,Acanthaceae undiff.,"herbs or suffrutices, shrubs, more rarely small trees or lianes",,,,Acanthaceae undiff.
ACANTHACEAE,Acanthaceae prolate,HS(TL),I,Acanthaceae undiff.,"herbs or suffrutices, shrubs, more rarely small trees or lianes",,,,Acanthaceae undiff.
ACANTHACEAE,Acanthaceae triangular,HS(TL),I,Acanthaceae undiff.,"herbs or suffrutices, shrubs, more rarely small trees or lianes",,,,Acanthaceae undiff.
ACANTHACEAE,Acanthaceae undiff.,HS(TL),I,Acanthaceae undiff.,"herbs or suffrutices, shrubs, more rarely small trees or lianes",,,,Acanthaceae undiff.
ACANTHACEAE,Adathoda,HS(TL),I,Acanthaceae undiff.,"herbs or suffrutices, shrubs, more rarely small trees or lianes",,,mis-spelling; syn. Anisotes & Justicia,Acanthaceae undiff.
ACANTHACEAE,Macrorungia,HS(TL),I,Acanthaceae undiff.,"herbs or suffrutices, shrubs, more rarely small trees or lianes",,,syn. Anisotes & Metarungia,Acanthaceae undiff.
ACANTHACEAE,other Acanthaceae,HS(TL),I,Acanthaceae undiff.,"herbs or suffrutices, shrubs, more rarely small trees or lianes",,,,Acanthaceae undiff.
ACANTHACEAE,type Acanthus/Blepharis,HST,I,Acanthus/Blepharis,"herbs, shrubs or small trees",,,,Acanthus/Blepharis
ACANTHACEAE,Acanthus sim.,HST,I,Acanthus-type,"herbs, shrubs or small trees",,Blepharis (H),,Acanthus-type
ACANTHACEAE,Acanthus-type,HST,I,Acanthus-type,"herbs, shrubs or small trees",,Blepharis (H),,Acanthus-type
ACANTHACEAE,Barleria ?,HSL,I,Barleria,"herbs or shrubs, often very spiny, or lianas",,,,Barleria
ACANTHACEAE,cf. Barleria,HSL,I,Barleria,"herbs or shrubs, often very spiny, or lianas",,,,Barleria
ACANTHACEAE,Brillantasia,H(ST),I,Brillantaisia,erect perennial herbs to 3 m high or more rarely shrubs/small trees up to 7 m high,,,mis-spelling,Brillantaisia
ACANTHACEAE,type Brillantaisia,H(ST),I,Brillantaisia,erect perennial herbs to 3 m high or more rarely shrubs/small trees up to 7 m high,,,,Brillantaisia
ACANTHACEAE,Cf Dicliptera/Hypoestes,H(SL),I,Dicliptera/Hypoestes,"herbs, shrubs, climbers",,,,Dicliptera/Hypoestes
ACANTHACEAE,Hypoestes/Dicliptera,H(SL),I,Dicliptera/Hypoestes,"herbs, shrubs, climbers",,,,Dicliptera/Hypoestes
ACANTHACEAE,Dischoriste-type,H(S),I,Dyschoriste-type,"herbs or subshrubs, or shrubs",,"some Mellera (S), Phaulopsis barteri (H)",mis-spelling,Dyschoriste-type
ACANTHACEAE,Dyschoriste,H(S),I,Dyschoriste-type,"herbs or subshrubs, or shrubs",,"some Mellera (S), Phaulopsis barteri (H)",,Dyschoriste-type
ACANTHACEAE,Dyschoriste-type,H(S),I,Dyschoriste-type,"herbs or subshrubs, or shrubs",,"some Mellera (S), Phaulopsis barteri (H)",,Dyschoriste-type
ACANTHACEAE,type Dischoriste,H(S),I,Dyschoriste-type,"herbs or subshrubs, or shrubs",,"some Mellera (S), Phaulopsis barteri (H)",mis-spelling,Dyschoriste-type
ACANTHACEAE,type Dyschoriste,H(S),I,Dyschoriste-type,"herbs or subshrubs, or shrubs",,"some Mellera (S), Phaulopsis barteri (H)",,Dyschoriste-type
ACANTHACEAE,Ecbolium-type,HS,I,Ecbolium,erect herbs or shrubs up to 3-4 m tall,,,some sp. syn. Megalochlamys,Ecbolium
ACANTHACEAE,Peristrophe/Hypoestes,H(SL),I,Hypoestes/Peristrophe,"herbs, shrubs, climbers",,,,Hypoestes/Peristrophe
ACANTHACEAE,type Hypoestes/Peristrophe,H(SL),I,Hypoestes/Peristrophe,"herbs, shrubs, climbers",,,,Hypoestes/Peristrophe
ACANTHACEAE,Hypoeste -type,H(SL),I,Hypoestes-type,"erect or straggling herbs, more rarely small shrubs or climbers (1-2 m tall)",,"Dicliptera (H), Peristrophe (H), Justicia betonica (H)",,Hypoestes-type
ACANTHACEAE,Hypoestes,H(SL),I,Hypoestes-type,"erect or straggling herbs, more rarely small shrubs or climbers (1-2 m tall)",,"Dicliptera (H), Peristrophe (H), Justicia betonica (H)",,Hypoestes-type
ACANTHACEAE,Hypoestes sp.,H(SL),I,Hypoestes-type,"erect or straggling herbs, more rarely small shrubs or climbers (1-2 m tall)",,"Dicliptera (H), Peristrophe (H), Justicia betonica (H)",,Hypoestes-type
ACANTHACEAE,Hypoestes type,H(SL),I,Hypoestes-type,"erect or straggling herbs, more rarely small shrubs or climbers (1-2 m tall)",,"Dicliptera (H), Peristrophe (H), Justicia betonica (H)",,Hypoestes-type
ACANTHACEAE,Hypoestes-type,H(SL),I,Hypoestes-type,"erect or straggling herbs, more rarely small shrubs or climbers (1-2 m tall)",,"Dicliptera (H), Peristrophe (H), Justicia betonica (H)",,Hypoestes-type
ACANTHACEAE,type Hypoestes,H(SL),I,Hypoestes-type,"erect or straggling herbs, more rarely small shrubs or climbers (1-2 m tall)",,"Dicliptera (H), Peristrophe (H), Justicia betonica (H)",,Hypoestes-type
ACANTHACEAE,Isoglossa,HS,I,Isoglossa,herbs or shrubs to 3 m tall,,,,Isoglossa
ACANTHACEAE,Justicia/Monechma,H(S),I,Justicia/Monechma,"mainly herbs or subshrubs, sometimes shrubs",,,,Justicia/Monechma
ACANTHACEAE,Justicia,H(S),I,Justicia-type,"herbs, sometimes shrubs",,"some Hypoestes (H(SL)), Monechma (H(S))",,Justicia-type
ACANTHACEAE,Justicia 2-porate,H(S),I,Justicia-type,"herbs, sometimes shrubs",,"some Hypoestes (H(SL)), Monechma (H(S))",,Justicia-type
ACANTHACEAE,Justicia 3-porate,H(S),I,Justicia-type,"herbs, sometimes shrubs",,"some Hypoestes (H(SL)), Monechma (H(S))",,Justicia-type
ACANTHACEAE,Justicia type,H(S),I,Justicia-type,"herbs, sometimes shrubs",,"some Hypoestes (H(SL)), Monechma (H(S))",,Justicia-type
ACANTHACEAE,Justicia-type,H(S),I,Justicia-type,"herbs, sometimes shrubs",,"some Hypoestes (H(SL)), Monechma (H(S))",,Justicia-type
ACANTHACEAE,Justitia,H(S),I,Justicia-type,"herbs, sometimes shrubs",,"some Hypoestes (H(SL)), Monechma (H(S))",mis-spelling,Justicia-type
ACANTHACEAE,Justitia-type,H(S),I,Justicia-type,"herbs, sometimes shrubs",,"some Hypoestes (H(SL)), Monechma (H(S))",mis-spelling,Justicia-type
ACANTHACEAE,type Anisostachys,H(S),I,Justicia-type,"herbs, sometimes shrubs",,"some Hypoestes (H(SL)), Monechma (H(S))",mis-spelling                                                                        syn. Justicia,Justicia-type
ACANTHACEAE,Mimulopsis-type,HST,I,Mimulopsis-type,"trees, shrubs or herbs, sometimes climbing",,Anisosepalum humbertii (H),,Mimulopsis-type
ACANTHACEAE,type Mimulopsis,HST,I,Mimulopsis-type,"trees, shrubs or herbs, sometimes climbing",,Anisosepalum humbertii (H),,Mimulopsis-type
ACANTHACEAE,type Ruellia,HS,I,Ruellia,much-branched erect or creeping herbs or shrubs,,,,Ruellia
AIZOACEAE,Aiozoaceae small,H(S),I,Aizoaceae undiff.,"herbs, rarely shrubs, sometimes slightly succulent",,,mis-spelling,Aizoaceae undiff.
AIZOACEAE,Aizoaceae,H(S),I,Aizoaceae undiff.,"herbs, rarely shrubs, sometimes slightly succulent",,,,Aizoaceae undiff.
AIZOACEAE,Aizoaceae undiff.,H(S),I,Aizoaceae undiff.,"herbs, rarely shrubs, sometimes slightly succulent",,,,Aizoaceae undiff.
AIZOACEAE,Aizoaceae/Ficoidaceae,H(S),I,Aizoaceae undiff.,"herbs, rarely shrubs, sometimes slightly succulent",,,syn. Aizoaceae,Aizoaceae undiff.
AIZOACEAE,Aizoaceae-type,H(S),I,Aizoaceae undiff.,"herbs, rarely shrubs, sometimes slightly succulent",,,,Aizoaceae undiff.
AIZOACEAE,Mesanbryanthemaceae,H(S),I,Aizoaceae undiff.,"herbs, rarely shrubs, sometimes slightly succulent",,,syn. Aizoaceae; mis-spelling,Aizoaceae undiff.
AIZOACEAE,Mesembryanthemaceae,H(S),I,Aizoaceae undiff.,"herbs, rarely shrubs, sometimes slightly succulent",,,syn. Aizoaceae,Aizoaceae undiff.
AIZOACEAE,Mollugaceae,H(S),I,Aizoaceae undiff.,"herbs, rarely shrubs, sometimes slightly succulent",,,syn. Aizoaceae,Aizoaceae undiff.
AIZOACEAE,Molluginaceae,H(S),I,Aizoaceae undiff.,"herbs, rarely shrubs, sometimes slightly succulent",,,syn. Aizoaceae,Aizoaceae undiff.
AIZOACEAE/CARYOPHYLLACEAE,Illecebraceae,H(S),I,Aizoaceae/Caryophyllaceae undiff.,"herbs, rarely shrubs",,,syn. Aizoaceae & Caryophyllaceae,Aizoaceae/Caryophyllaceae undiff.
ALOACEAE,Aloe type,H(ST),I,Aloe-type,"perennial herbs with succulent leaves, sometimes developing into shrubs or even trees.",,"Bulbine abyssinica (H), Kniphofia thomsonii (H) (ASPHODELLACEAE)",,Aloe-type
ALOACEAE,Aloe-type,H(ST),I,Aloe-type,"perennial herbs with succulent leaves, sometimes developing into shrubs or even trees.",,"Bulbine abyssinica (H), Kniphofia thomsonii (H) (ASPHODELLACEAE)",,Aloe-type
ALOACEAE,cf. Aloe,H(ST),I,Aloe-type,"perennial herbs with succulent leaves, sometimes developing into shrubs or even trees.",,"Bulbine abyssinica (H), Kniphofia thomsonii (H) (ASPHODELLACEAE)",,Aloe-type
AMARANTHACEAE,Amaranthaceae (autre espece),H(L),I,Amaranthaceae undiff.,"annual or perennial herbs or subshrubs, rarely lianes",,some CHENOPODIACEAE (H(ST)),,Amaranthaceae undiff.
AMARANTHACEAE,Amaranthaceae Indéterminées,H(L),I,Amaranthaceae undiff.,"annual or perennial herbs or subshrubs, rarely lianes",,some CHENOPODIACEAE (H(ST)),,Amaranthaceae undiff.
AMARANTHACEAE,Amaranthaceae sp,H(L),I,Amaranthaceae undiff.,"annual or perennial herbs or subshrubs, rarely lianes",,some CHENOPODIACEAE (H(ST)),,Amaranthaceae undiff.
AMARANTHACEAE,Amaranthaceae undiff.,H(L),I,Amaranthaceae undiff.,"annual or perennial herbs or subshrubs, rarely lianes",,some CHENOPODIACEAE (H(ST)),,Amaranthaceae undiff.
AMARANTHACEAE,Amaranthaceae-type,H(L),I,Amaranthaceae undiff.,"annual or perennial herbs or subshrubs, rarely lianes",,some CHENOPODIACEAE (H(ST)),,Amaranthaceae undiff.
AMARANTHACEAE,Amaranthacees,H(L),I,Amaranthaceae undiff.,"annual or perennial herbs or subshrubs, rarely lianes",,some CHENOPODIACEAE (H(ST)),,Amaranthaceae undiff.
AMARANTHACEAE,Amaranthacées,H(L),I,Amaranthaceae undiff.,"annual or perennial herbs or subshrubs, rarely lianes",,some CHENOPODIACEAE (H(ST)),,Amaranthaceae undiff.
AMARANTHACEAE,Chenopodiaceae undiff.,H(ST),I,Chenopodiaceae undiff.,"annual or perennial herbs, sometimes shrubs, rarely small trees",,some AMARANTHACEAE H(L),,Amaranthaceae undiff.
AMARANTHACEAE,Chenopodiaceae-type,H(ST),I,Chenopodiaceae undiff.,"annual or perennial herbs, sometimes shrubs, rarely small trees",,some AMARANTHACEAE H(L),,Amaranthaceae undiff.
AMARANTHACEAE,Chenopodiacées,H(ST),I,Chenopodiaceae undiff.,"annual or perennial herbs, sometimes shrubs, rarely small trees",,some AMARANTHACEAE H(L),,Amaranthaceae undiff.
AMARANTHACEAE,Chénopodiacées,H(ST),I,Chenopodiaceae undiff.,"annual or perennial herbs, sometimes shrubs, rarely small trees",,some AMARANTHACEAE H(L),,Amaranthaceae undiff.
AMARANTHACEAE,Chenopodiaces,H(ST),I,Chenopodiaceae undiff.,"annual or perennial herbs, sometimes shrubs, rarely small trees",,some AMARANTHACEAE H(L),,Amaranthaceae undiff.
AMARANTHACEAE,Salsolacées,H(ST),I,Chenopodiaceae undiff.,"annual or perennial herbs, sometimes shrubs, rarely small trees",,some AMARANTHACEAE H(L),syn.,Amaranthaceae undiff.
AMARANTHACEAE,Cf Suaeda,HS,I,Suaeda,annual or perennial herbs or shrubs,,,,Suaeda
AMARANTHACEAE,Cf Suaeda,HS,I,Suaeda,annual or perennial herbs or shrubs,,,,Suaeda
AMARANTHACEAE,Suaeda,HS,I,Suaeda,annual or perennial herbs or shrubs,,,,Suaeda
AMARANTHACEAE,Suaeda-type,HS,I,Suaeda,annual or perennial herbs or shrubs,,,,Suaeda
AMARANTHACEAE/CARYOPHYLLACEAE,Amaranthaceae/Caryophyllaceae,I,I,Amaranthaceae/Caryophyllaceae undiff.,,,,,Amaranthaceae/Caryophyllaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Amaranthaceae/Chenopodiaceae,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Amaranthaceae/Chenopodiaceae undiff.,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Amaranthaceae-Chenopodiaceae,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Anaranthaceae/Chenop,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,mis-spelling,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Anaranthaceae/Chenopodiaceae,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,mis-spelling,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Autres Chen./Am.,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Cheno.-Am.type,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Cheno/Am,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Cheno-Am,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Cheno-Am.,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,ChenoAmar,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,ChenoAmar.,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Cheno-Amar.,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,,Amaranthaceae undiff.
AMARANTHACEAE/CHENOPODIACEAE,Chenopodaiceae/Amaranthaceae,H(STL),I,Amaranthaceae/Chenopodiaceae undiff.,"herbs, shrubs or small trees, sometimes climbing",,now one single family,mis-spelling,Amaranthaceae undiff.
